Scan,Color,Generation,Selection,Progeny,Label (C-G-S-P),Founder
S113,Green,1,160,3,G-1-160-3,
S113,Red,1,185,2,R-1-185-2,
S114,Blue,52,5,3,B-52-5-3,Flynn
S114,Green,55,5,3,G-55-5-3,Good Delta (104)
S114,Red,60,4,3,R-60-4-3,Lyallpur
S114,Orange,1,34,3,O-1-34-3,
S115,Red,1,32,1,R-1-32-1,
S115,Green,1,58,2,G-1-58-2,
S115,Blue,1,143,1,B-1-143-1,
S115,Orange,1,186,3,O-1-186-3,
S116,Orange,1,44,1,O-1-44-1,
S116,Green,1,63,1,G-1-63-1,
S116,Blue,1,202,2,B-1-202-2,
S116,Red,7,12,1,R-7-12-1,
S117,Red,1,105,3,R-1-105-3,
S117,Blue,1,135,1,B-1-135-1,
S117,Orange,1,192,2,O-1-192-2,
S117,Green,7,166,1,G-7-166-1,
S118,Red,1,153,1,R-1-153-1,
S118,Blue,1,213,1,B-1-213-1,
S118,Orange,1,219,2,O-1-219-2,
S118,Green,7,95,2,G-7-95-2,
S119,Blue,60,4,1,B-60-4-1,Lyallpur
S119,Green,1,10,1,G-1-10-1,
S119,Red,1,105,2,R-1-105-2,
S119,Orange,1,155,3,O-1-155-3,
S120,Green,1,73,1,G-1-73-1,
S120,Blue,1,76,1,B-1-76-1,
S120,Orange,1,98,3,O-1-98-3,
S120,Red,1,158,1,R-1-158-1,
S121,Green,1,45,1,G-1-45-1,
S121,Blue,1,71,2,B-1-71-2,
S121,Orange,1,134,3,O-1-134-3,
S121,Red,7,128,2,R-7-128-2,
S122,Blue,1,20,2,B-1-20-2,
S122,Green,1,138,2,G-1-138-2,
S122,Orange,1,186,2,O-1-186-2,
S122,Red,7,125,1,R-7-125-1,
S123,Red,51,5,1,R-51-5-1,Everest
S123,Orange,1,202,1,O-1-202-1,
S124,Blue,1,79,1,B-1-79-1,
S124,Orange,1,98,1,O-1-98-1,
S124,Red,1,122,1,R-1-122-1,
S124,Green,1,212,2,G-1-212-2,
S125,Blue,55,5,2,B-55-5-2,Good Delta (104)
S125,Red,63,4,1,R-63-4-1,Meloy
S125,Orange,1,5,2,O-1-5-2,
S125,Green,1,175,3,G-1-175-3,
S126,Red,1,115,1,R-1-115-1,
S126,Blue,1,205,3,B-1-205-3,
S126,Orange,7,66,2,O-7-66-2,
S126,Green,7,211,3,G-7-211-3,
S127,Red,1,66,2,R-1-66-2,
S127,Green,1,87,1,G-1-87-1,
S127,Orange,1,124,3,O-1-124-3,
S127,Blue,7,60,1,B-7-60-1,
S128,Red,47,4,1,R-47-4-1,Arequipa
S128,Orange,1,31,1,O-1-31-1,
S128,Green,1,50,3,G-1-50-3,
S128,Blue,1,219,3,B-1-219-3,
S129,Green,1,58,1,G-1-58-1,
S129,Blue,1,129,2,B-1-129-2,
S129,Red,7,6,1,R-7-6-1,
S129,Orange,7,30,3,O-7-30-3,
S130,Green,1,86,3,G-1-86-3,
S130,Blue,1,109,1,B-1-109-1,
S130,Orange,1,186,1,O-1-186-1,
S130,Red,7,71,2,R-7-71-2,
S131,Red,1,8,1,R-1-8-1,
S131,Green,1,56,3,G-1-56-3,
S131,Blue,1,64,3,B-1-64-3,
S131,Orange,1,179,2,O-1-179-2,
S132,Green,1,43,3,G-1-43-3,
S132,Orange,1,89,1,O-1-89-1,
S132,Red,1,133,3,R-1-133-3,
S132,Blue,1,151,3,B-1-151-3,
S133,Green,52,5,1,G-52-5-1,Flynn
S133,Red,1,39,2,R-1-39-2,
S133,Blue,1,68,1,B-1-68-1,
S133,Orange,7,122,1,O-7-122-1,
S134,Blue,1,14,3,B-1-14-3,
S134,Red,1,126,2,R-1-126-2,
S134,Orange,7,45,1,O-7-45-1,
S134,Green,7,128,1,G-7-128-1,
S135,Blue,1,27,3,B-1-27-3,
S135,Green,1,39,3,G-1-39-3,
S135,Red,1,168,3,R-1-168-3,
S135,Orange,1,180,1,O-1-180-1,
S136,Green,51,5,3,G-51-5-3,Everest
S136,Red,64,5,1,R-64-5-1,Minia
S136,Blue,1,43,1,B-1-43-1,
S136,Orange,1,74,1,O-1-74-1,
S137,Red,68,3,3,R-68-3-3,Palmella Blue (79B)
S137,Blue,1,28,1,B-1-28-1,
S137,Green,1,181,1,G-1-181-1,
S137,Orange,7,39,2,O-7-39-2,
S138,Green,53,5,2,G-53-5-2,Glabron
S138,Red,1,37,2,R-1-37-2,
S138,Blue,1,143,2,B-1-143-2,
S138,Orange,1,165,1,O-1-165-1,
S139,Green,1,121,3,G-1-121-3,
S139,Orange,1,142,3,O-1-142-3,
S139,Blue,1,205,2,B-1-205-2,
S139,Red,1,216,1,R-1-216-1,
S140,Green,1,208,2,G-1-208-2,
S140,Orange,7,76,1,O-7-76-1,
S140,Blue,7,190,3,B-7-190-3,
S140,Red,7,204,3,R-7-204-3,
S141,Red,57,4,1,R-57-4-1,Hannchen
S141,Blue,1,71,1,B-1-71-1,
S141,Green,1,107,1,G-1-107-1,
S141,Orange,7,123,3,O-7-123-3,
S142,Blue,59,5,2,B-59-5-2,Lion
S142,Orange,1,91,3,O-1-91-3,
S142,Red,1,100,3,R-1-100-3,
S142,Green,7,178,3,G-7-178-3,
S143,Red,1,86,1,R-1-86-1,
S143,Green,1,117,3,G-1-117-3,
S143,Orange,1,174,3,O-1-174-3,
S143,Blue,7,116,1,B-7-116-1,
S144,Blue,1,101,1,B-1-101-1,
S144,Orange,1,102,1,O-1-102-1,
S144,Red,1,125,2,R-1-125-2,
S144,Green,1,166,3,G-1-166-3,
S145,Green,1,50,1,G-1-50-1,
S145,Red,1,79,3,R-1-79-3,
S145,Orange,1,100,2,O-1-100-2,
S145,Blue,7,204,2,B-7-204-2,
S146,Red,45,3,1,R-45-3-1,Algerian
S146,Blue,58,3,1,B-58-3-1,Horn
S146,Green,59,5,3,G-59-5-3,Lion
S146,Orange,1,167,2,O-1-167-2,
S147,Orange,1,49,3,O-1-49-3,
S147,Red,1,97,1,R-1-97-1,
S147,Blue,1,123,3,B-1-123-3,
S147,Green,1,191,1,G-1-191-1,
S148,Orange,1,81,3,O-1-81-3,
S148,Red,1,137,2,R-1-137-2,
S148,Green,1,189,3,G-1-189-3,
S148,Blue,7,34,3,B-7-34-3,
S149,Red,1,69,2,R-1-69-2,
S149,Orange,1,133,2,O-1-133-2,
S149,Green,1,178,2,G-1-178-2,
S149,Blue,1,181,3,B-1-181-3,
S150,Orange,1,33,1,O-1-33-1,
S150,Red,1,87,3,R-1-87-3,
S150,Blue,1,107,2,B-1-107-2,
S150,Green,1,216,3,G-1-216-3,
S151,Blue,1,7,3,B-1-7-3,
S151,Orange,1,32,3,O-1-32-3,
S151,Red,1,187,1,R-1-187-1,
S151,Green,7,39,3,G-7-39-3,
S152,Red,1,23,3,R-1-23-3,
S152,Orange,1,49,2,O-1-49-2,
S152,Green,1,117,2,G-1-117-2,
S152,Blue,1,123,2,B-1-123-2,
S153,Green,1,50,2,G-1-50-2,
S153,Orange,1,134,1,O-1-134-1,
S153,Red,1,210,1,R-1-210-1,
S153,Blue,7,42,3,B-7-42-3,
S154,Green,1,41,2,G-1-41-2,
S154,Blue,1,53,2,B-1-53-2,
S154,Orange,7,74,3,O-7-74-3,
S154,Red,7,134,1,R-7-134-1,
S155,Red,1,140,3,R-1-140-3,
S155,Green,1,160,2,G-1-160-2,
S155,Orange,1,166,2,O-1-166-2,
S155,Blue,1,170,2,B-1-170-2,
S156,Blue,62,5,1,B-62-5-1,Manchuria
S156,Red,1,111,2,R-1-111-2,
S156,Green,1,140,2,G-1-140-2,
S156,Orange,7,135,1,O-7-135-1,
S157,Red,1,76,3,R-1-76-3,
S157,Green,1,85,2,G-1-85-2,
S157,Orange,1,160,1,O-1-160-1,
S157,Blue,7,21,1,B-7-21-1,
S158,Orange,1,20,1,O-1-20-1,
S158,Green,1,139,2,G-1-139-2,
S158,Red,1,147,3,R-1-147-3,
S158,Blue,7,211,1,B-7-211-1,
S159,Red,1,51,2,R-1-51-2,
S159,Blue,1,159,3,B-1-159-3,
S159,Green,1,200,2,G-1-200-2,
S159,Orange,7,83,3,O-7-83-3,
S160,Green,1,52,3,G-1-52-3,
S160,Red,1,70,1,R-1-70-1,
S160,Orange,1,131,1,O-1-131-1,
S160,Blue,1,209,2,B-1-209-2,
S161,Red,1,38,2,R-1-38-2,
S161,Orange,1,45,3,O-1-45-3,
S161,Blue,1,161,2,B-1-161-2,
S161,Green,7,74,1,G-7-74-1,
S162,Green,1,25,3,G-1-25-3,
S162,Orange,1,41,1,O-1-41-1,
S162,Red,1,87,2,R-1-87-2,
S162,Blue,1,215,2,B-1-215-2,
S163,Red,1,100,1,R-1-100-1,
S163,Blue,1,118,1,B-1-118-1,
S163,Orange,7,74,2,O-7-74-2,
S163,Green,7,190,2,G-7-190-2,
S164,Blue,1,88,2,B-1-88-2,
S164,Orange,1,120,2,O-1-120-2,
S164,Green,1,173,3,G-1-173-3,
S164,Red,1,183,2,R-1-183-2,
S165,Blue,57,4,2,B-57-4-2,Hannchen
S165,Green,65,2,2,G-65-2-2,Multan
S165,Orange,1,4,2,O-1-4-2,
S165,Red,1,12,2,R-1-12-2,
S166,Green,54,5,3,G-54-5-3,Golden Pheasant
S166,Red,66,5,2,R-66-5-2,Oderbrucker
S166,Orange,1,161,1,O-1-161-1,
S166,Blue,1,217,1,B-1-217-1,
S167,Red,1,9,2,R-1-9-2,
S167,Green,1,26,2,G-1-26-2,
S167,Orange,1,140,2,O-1-104-2,
S167,Blue,1,204,1,B-1-204-1,
S168,Red,1,10,3,R-1-10-3,
S168,Orange,1,106,2,O-1-106-2,
S168,Green,1,185,1,G-1-185-1,
S168,Blue,7,218,1,B-7-218-1,
S169,Green,1,26,1,G-1-26-1,
S169,Blue,1,147,2,B-1-147-2,
S169,Orange,1,218,1,O-1-218-1,
S169,Red,7,218,2,R-7-218-2,
S170,Green,1,114,3,G-1-114-3,
S170,Blue,1,159,1,B-1-159-1,
S170,Orange,7,15,2,O-7-15-2,
S170,Red,7,130,3,R-7-130-3,
S171,Orange,54,5,2,O-54-5-2,Golden Pheasant
S171,Green,1,141,3,G-1-141-3,
S171,Red,7,34,2,R-7-34-2,
S171,Blue,7,89,1,B-7-89-1,
S172,Red,1,5,1,R-1-5-1,
S172,Orange,1,162,1,O-1-162-1,
S172,Blue,1,187,2,B-1-187-2,
S172,Green,1,193,1,G-1-193-1,
S173,Orange,1,93,3,O-1-93-3,
S173,Blue,1,129,1,B-1-129-1,
S173,Red,1,176,2,R-1-176-2,
S173,Green,7,130,1,G-7-130-1,
S174,Blue,1,11,2,B-1-11-2,
S174,Red,1,108,3,R-1-108-3,
S174,Orange,1,213,2,O-1-213-2,
S174,Green,7,123,2,G-7-123-2,
S175,Red,1,90,3,R-1-90-3,
S175,Orange,1,115,2,O-1-115-2,
S176,Red,1,42,2,R-1-42-2,
S176,Blue,7,34,1,B-7-34-1,
S176,Green,7,39,1,G-7-39-1,
S176,Orange,7,122,2,O-7-122-2,
S177,Red,1,175,2,R-1-175-2,
S177,Blue,1,201,3,B-1-201-3,
S177,Green,7,156,1,G-7-156-1,
S177,Orange,7,179,1,O-7-179-1,
S178,Orange,1,25,1,O-1-25-1,
S178,Blue,1,194,2,B-1-194-2,
S178,Red,7,72,3,R-7-72-3,
S178,Green,7,100,2,G-7-100-2,
S179,Orange,50,3,3,O-50-3-3,Club Mariout
S179,Blue,1,27,2,B-1-27-2,
S179,Green,1,167,3,G-1-167-3,
S179,Red,1,173,2,R-1-173-2,
S180,Orange,1,30,3,O-1-30-3,
S180,Red,1,49,1,R-1-49-1,
S180,Green,1,177,3,G-1-177-3,
S180,Blue,1,182,1,B-1-182-1,
S181,Green,52,5,2,G-52-5-2,Flynn
S181,Orange,1,6,1,O-1-6-1,
S181,Blue,1,76,2,B-1-76-2,
S181,Red,1,149,3,R-1-149-3,
S182,Orange,46,4,1,O-46-4-1,Alpha
S182,Red,1,88,1,R-1-88-1,
S182,Green,1,215,3,G-1-215-3,
S182,Blue,7,71,1,B-7-71-1,
S183,Orange,1,44,3,O-1-44-3,
S183,Blue,1,60,2,B-1-60-2,
S183,Red,1,194,1,R-1-194-1,
S183,Green,7,137,3,G-7-137-3,
S184,Blue,49,4,3,B-49-4-3,California Mariout (81A)
S184,Green,1,95,1,G-1-95-1,
S184,Red,1,207,3,R-1-207-3,
S184,Orange,7,82,1,O-7-82-1,
S185,Orange,47,4,3,O-47-4-3,Arequipa
S185,Red,1,72,1,R-1-72-1,
S185,Green,1,150,3,G-1-150-3,
S185,Blue,1,154,1,B-1-154-1,
S186,Blue,1,42,3,B-1-42-3,
S186,Green,1,82,1,G-1-82-1,
S186,Orange,1,164,1,O-1-164-1,
S186,Red,7,156,3,R-7-156-3,
S187,Green,1,55,1,G-1-55-1,
S187,Red,1,67,1,R-1-67-1,
S187,Blue,1,83,1,B-1-83-1,
S187,Orange,7,94,2,O-7-94-2,
S188,Green,1,20,3,G-1-20-3,
S188,Blue,1,94,1,B-1-94-1,
S188,Red,1,148,2,R-1-148-2,
S188,Orange,7,66,1,O-7-66-1,
S189,Red,1,8,2,R-1-8-2,
S189,Green,1,17,2,G-1-17-2,
S189,Orange,1,99,3,O-1-99-3,
S189,Blue,1,145,2,B-1-145-2,
S190,Blue,1,25,2,B-1-25-2,
S190,Orange,1,54,3,O-1-54-3,
S190,Green,1,62,2,G-1-62-2,
S190,Red,1,130,1,R-1-130-1,
S191,Green,1,58,3,G-1-58-3,
S191,Orange,1,62,1,O-1-62-1,
S191,Red,1,158,3,R-1-158-3,
S191,Blue,1,199,1,B-1-199-1,
S192,Green,1,98,2,G-1-98-2,
S192,Blue,1,203,1,B-1-203-1,
S192,Red,1,209,3,R-1-209-3,
S192,Orange,7,15,3,O-7-15-3,
S193,Blue,1,47,3,B-1-47-3,
S193,Orange,1,97,3,O-1-97-3,
S193,Green,1,152,2,G-1-152-2,
S193,Red,7,21,2,R-7-21-2,
S194,Red,1,110,3,R-1-110-3,
S194,Green,1,136,3,G-1-136-3,
S194,Blue,7,100,1,B-7-100-1,
S194,Orange,7,158,1,O-7-158-1,
S195,Red,1,79,2,R-1-79-2,
S195,Orange,1,128,1,O-1-128-1,
S195,Blue,1,138,1,B-1-138-1,
S195,Green,7,6,3,G-7-6-3,
S196,Green,49,4,2,G-49-4-2,California Mariout (81A)
S196,Red,1,13,3,R-1-13-1,
S196,Orange,1,159,2,O-1-159-2,
S196,Blue,7,218,3,B-7-218-3,
S197,Blue,1,21,2,B-1-21-2,
S197,Red,1,172,1,R-1-172-1,
S197,Green,7,12,2,G-7-12-2,
S197,Orange,7,66,3,O-7-66-3,
S198,Green,1,54,1,G-1-54-1,
S198,Orange,1,97,2,O-1-97-2,
S198,Red,1,101,3,R-1-101-3,
S198,Blue,1,104,1,B-1-104-1,
S199,Green,63,4,2,G-63-4-2,Meloy
S199,Blue,1,26,3,B-1-26-3,
S199,Red,1,116,2,R-1-116-2,
S199,Orange,7,82,2,O-7-82-2,
S200,Blue,1,173,1,B-1-173-1,
S200,Red,1,189,1,R-1-189-1,
S200,Green,1,192,3,G-1-192-3,
S200,Orange,1,211,3,O-1-211-3,
S201,Orange,68,3,1,O-68-3-1,Palmella Blue (79B)
S201,Red,1,113,2,R-1-113-2,
S201,Green,1,133,1,G-1-133-1,
S201,Blue,1,171,1,B-1-171-1,
S202,Green,1,70,2,G-1-70-2,
S202,Red,1,148,3,R-1-148-3,
S202,Orange,1,164,2,O-1-164-2,
S202,Blue,1,182,3,B-1-182-3,
S203,Green,1,5,3,G-1-5-3,
S203,Red,1,23,1,R-1-23-1,
S203,Orange,1,130,3,O-1-130-3,
S203,Blue,1,181,2,B-1-181-2,
S204,Blue,45,3,3,B-45-3-3,Algerian
S204,Orange,1,184,1,O-1-184-1,
S204,Green,1,196,1,G-1-196-1,
S204,Red,7,135,3,R-7-135-3,
S205,Red,64,5,2,R-64-5-2,Minia
S205,Orange,1,18,1,O-1-18-1,
S205,Blue,1,134,2,B-1-134-2,
S205,Green,1,170,3,G-1-170-3,
S206,Green,45,3,2,G-45-3-2,Algerian
S206,Blue,1,8,3,B-1-8-3,
S206,Orange,1,17,1,O-1-17-1,
S206,Red,1,52,2,R-1-52-2,
S207,Orange,1,91,1,O-1-91-1,
S207,Blue,1,104,3,B-1-104-3,
S207,Red,1,115,3,R-1-115-3,
S207,Green,1,127,2,G-1-127-2,
S208,Red,1,48,2,R-1-48-2,
S208,Orange,1,74,3,O-1-74-3,
S208,Blue,1,131,2,B-1-131-2,
S208,Green,7,102,2,G-7-102-2,
S209,Green,61,5,1,G-61-5-1,Maison Carree (Carre 42)
S209,Blue,1,62,3,B-1-62-3,
S209,Orange,1,84,2,O-1-84-2,
S209,Red,7,95,1,R-7-95-1,
S210,Green,1,72,2,G-1-72-2,
S210,Red,1,110,2,R-1-110-2,
S210,Orange,7,53,1,O-7-53-1,
S210,Blue,7,102,1,B-7-102-1,
S211,Green,1,2,1,G-1-2-1,
S211,Blue,1,214,1,B-1-214-1,
S211,Red,7,125,3,R-7-125-3,
S211,Orange,7,164,1,O-7-164-1,
S212,Orange,48,5,20,O-48-5-20,Atlas
S212,Blue,1,31,3,B-1-31-3,
S212,Red,1,126,3,R-1-126-3,
S212,Green,1,143,3,G-1-143-3,
S213,Red,1,56,1,R-1-56-1,
S213,Blue,1,80,3,B-1-80-3,
S213,Green,1,132,1,G-1-132-1,
S213,Orange,1,210,3,O-1-210-3,
S214,Blue,1,40,3,B-1-40-3,
S214,Orange,1,53,1,O-1-53-1,
S214,Red,1,78,1,R-1-78-1,
S214,Green,1,80,1,G-1-80-1,
S215,Red,1,75,3,R-1-75-3,
S215,Orange,1,93,2,O-1-93-2,
S215,Green,1,214,3,G-1-214-3,
S215,Blue,7,12,3,B-7-12-3,
S216,Orange,1,29,2,O-1-29-2,
S216,Blue,1,109,2,B-1-109-2,
S216,Red,1,183,1,R-1-183-1,
S216,Green,7,196,3,G-7-196-3,
S217,Orange,1,78,3,O-1-78-3,
S217,Green,1,81,1,G-1-81-1,
S217,Blue,1,93,1,B-1-93-1,
S217,Red,1,125,1,R-1-125-1,
S218,Green,70,4,1,G-70-4-1,Trebi
S218,Orange,1,99,2,O-1-99-2,
S218,Blue,1,169,1,B-1-169-1,
S218,Red,1,200,3,R-1-200-3,
S219,Blue,59,5,1,B-59-5-1,Lion
S219,Green,1,57,3,G-1-57-3,
S219,Orange,1,199,2,O-1-199-2,
S219,Red,7,103,3,R-7-103-3,
S220,Red,72,5,2,R-72-5-2,Wisconsin Winter
S220,Orange,1,30,1,O-1-30-1,
S220,Green,1,119,3,G-1-119-3,
S220,Blue,1,126,1,B-1-126-1,
S221,Orange,56,5,1,O-56-5-1,Han River
S221,Blue,56,5,2,B-56-5-2,Han River
S221,Red,1,116,1,R-1-116-1,
S221,Green,1,118,2,G-1-118-2,
S222,Blue,1,19,2,B-1-19-2,
S222,Red,1,120,1,R-1-120-1,
S222,Green,1,127,1,G-1-127-1,
S222,Orange,1,218,2,O-1-218-2,
S223,Blue,49,4,1,B-49-4-1,California Mariout (81A)
S223,Red,1,81,2,R-1-81-2,
S223,Green,1,83,3,G-1-83-3,
S223,Orange,1,189,2,O-1-189-2,
S224,Red,7,211,2,R-7-211-2,
